Doctor_ID,Name,Specialization,Phone,Email,Experience_Years
D001,Jennifer Jones,Orthopedic,2025916347,karenaguirre@yahoo.com,17
D002,Troy Morrison,Pediatrician,372-275-1510x71720,sfleming@gmail.com,35
D003,Lisa Jimenez,Pediatrician,001-014-290-8214,carrie22@jordan.com,18
D004,Michael Coleman,Neurologist,(281)330-5195x3596,grahamtina@hotmail.com,29
D005,Christian Garcia,Cardiologist,992.571.8062x04989,millerjessica@hart.net,20
D006,Margaret Green,Pediatrician,756-069-6511x5535,hernandezjennifer@yahoo.com,11
D007,Lawrence Robertson,Cardiologist,001-385-139-7958x7694,coxyvonne@landry.com,18
D008,David Brown,General Physician,135.258.8067x6195,patricia08@davis-silva.com,12
D009,Holly Barrett,Orthopedic,319.668.1991x38959,emartin@griffin.com,19
D010,James Thompson,Neurologist,838.851.4283x10385,toddjones@yahoo.com,27
D011,Christina Hudson,Dermatologist,+1-316-797-0691x04667,cameron15@yahoo.com,14
D012,Carrie Andrews,Neurologist,(842)697-8713x899,dgreer@pacheco.com,19
D013,Morgan Harris,Pediatrician,001-554-843-3025,ybarrera@black.biz,17
D014,Lisa Knapp,General Physician,+1-377-947-3758x86316,fletcherstacy@gmail.com,18
D015,Andrew Mitchell,Cardiologist,(520)860-3925x055,danderson@parker.com,23
D016,Anthony Russell,Orthopedic,(795)861-0431x8871,kristen96@gmail.com,19
D017,Zachary Thornton,Cardiologist,321-795-4939x472,nfranco@gmail.com,7
D018,Nicholas Carter,Pediatrician,133-662-8670x1133,dixonjoshua@smith.com,26
D019,Jason Olson,Pediatrician,219220620,raystephanie@yahoo.com,28
D020,Jonathan Mitchell,Cardiologist,894.479.7306,zwilliams@johnston.com,11
D021,Susan Cruz,Cardiologist,(263)966-7386,stephanie10@gmail.com,29
D022,Timothy Porter,General Physician,(287)030-9746x2323,ugutierrez@hotmail.com,35
D023,Julie Stephens,Neurologist,(503)449-4594x346,slynch@carlson.com,23
D024,Joshua Foster,Cardiologist,001-873-755-3933x965,awilson@pena-king.biz,9
D025,Cameron Carlson,Dermatologist,+1-778-946-3471x99822,stonejohn@gmail.com,22
D026,Christina Wilson,General Physician,482.977.3377x5543,williesmith@yahoo.com,6
D027,Elizabeth Mcgee,Orthopedic,001-975-353-5554,larrywatson@moon.biz,13
D028,Michael Thomas DDS,Neurologist,001-298-576-1694,ojones@jackson.info,5
D029,Ian Andrade,Orthopedic,670.593.0136,xjensen@harris-lowery.com,33
D030,Kevin Collins,Pediatrician,3515554370,vday@petty-bowers.com,30
D031,Ricky Benson,Pediatrician,+1-319-946-3827x3743,wendy70@reese.net,12
D032,Sharon Lindsey,General Physician,001-369-452-6869,hillderek@schmidt.org,6
D033,George Garcia,Pediatrician,6954453118,mariepeterson@ray.com,27
D034,Garrett Schmitt,Cardiologist,961.234.9014,brandolph@robinson.com,25
D035,Phyllis Richards,General Physician,(552)433-1242x2820,rachelpowers@duffy.com,20
D036,Kayla Mcclain,Cardiologist,290.486.7020x118,nelsonryan@robinson.com,7
D037,Gary Hawkins,Cardiologist,3766426623,marycox@hotmail.com,16
D038,Latasha Young,Dermatologist,5476746654,joneskristina@yahoo.com,28
D039,Belinda Miller,Orthopedic,001-045-125-5660,phillipsmargaret@yahoo.com,2
D040,Melissa Knight,Orthopedic,(418)012-2116x475,rewing@hart.com,1
D041,Alyssa Bruce,Cardiologist,251-410-2702x758,lindamiranda@gmail.com,1
D042,Lauren Goodwin,Pediatrician,001-937-974-0861x34863,sandersshannon@gmail.com,35
D043,Tracy Hall,Orthopedic,001-773-157-0324,valdezpaul@phelps.com,15
D044,Anne Murphy,General Physician,001-293-384-6342,richard08@lucas-jones.com,35
D045,Tonya Rodriguez,Dermatologist,359-979-2973x73501,kelly72@hotmail.com,11
D046,Kyle Diaz,Pediatrician,001-082-184-6987,floressean@hotmail.com,32
